model_family,model_count,avg_score_mean,params_median
SolarForCausalLM,1,39.93865486453309,22.14
AriaForConditionalGeneration,1,28.87016399525205,25.307
Unknown,1,26.92045655620284,0.0
ExaoneForCausalLM,1,25.733775511042666,7.8
Gemma,235,25.428772388652902,10.159
DbrxForCausalLM,1,25.19901027244322,131.597
Qwen,1078,24.878287523655366,7.616
Command-R,2,24.862416945487215,8.028
Phi,55,24.37716830141402,3.821
Llama,1377,22.82956094070096,8.03
Mistral/Mixtral,532,20.475381003664307,8.987
InternLM2ForCausalLM,4,18.254842067332326,4.945
GlmForCausalLM,4,17.265374890075208,9.5135
DeciLMForCausalLM,2,16.246785080715128,7.044
Granite,14,14.897100927426923,2.9665
