id,model_name,model_sha,precision,model_type,weight_type,architecture,avg_score,has_chat_template,is_not_available_on_hub,is_merged,is_moe,is_flagged,is_official_provider,upload_date,submission_date,generation,base_model,license,likes,params_b,co2_kg,ifeval_raw,ifeval_norm,bbh_raw,bbh_norm,math_raw,math_norm,gpqa_raw,gpqa_norm,musr_raw,musr_norm,mmlu_pro_raw,mmlu_pro_norm,model_family,weighted_score
MaziyarPanahi/calme-3.2-instruct-78b_bfloat16_731f4daf584f822f1393731ccff1d58c7f06b99e_True,MaziyarPanahi/calme-3.2-instruct-78b,731f4daf584f822f1393731ccff1d58c7f06b99e,bfloat16,fine-tunedondomain-specificdatasets,Original,Qwen2ForCausalLM,52.08138397879168,True,True,False,False,False,False,2024-11-19,2024-11-28,1,Removed,other,112,77.965,66.01113070973882,0.8062607215521482,80.62607215521483,0.7318616272092674,62.6094432829016,0.4033232628398791,40.33232628398791,0.4026845637583892,20.3579418344519,0.6023645833333333,38.52890624999999,0.7303025265957447,70.03361406619385,Qwen,52.08138397879168
MaziyarPanahi/calme-3.1-instruct-78b_bfloat16_7ccd7f1a55ae79af7969f721bb7055511cc6b986_True,MaziyarPanahi/calme-3.1-instruct-78b,7ccd7f1a55ae79af7969f721bb7055511cc6b986,bfloat16,chatmodels,Original,Qwen2ForCausalLM,51.28748997363473,True,True,False,False,False,False,2024-11-19,2024-11-27,1,Removed,other,4,77.965,64.4378892937895,0.8135547015252862,81.35547015252862,0.7305154498840408,62.40968270370106,0.3927492447129909,39.27492447129909,0.3959731543624161,19.463087248322143,0.5890624999999999,36.49947916666666,0.718500664893617,68.72229609929079,Qwen,51.28748997363473
dfurman/CalmeRys-78B-Orpo-v0.1_bfloat16_7988deb48419c3f56bb24c139c23e5c476ec03f8_True,dfurman/CalmeRys-78B-Orpo-v0.1,7988deb48419c3f56bb24c139c23e5c476ec03f8,bfloat16,chatmodels,Original,Qwen2ForCausalLM,51.23132307602696,True,True,False,False,False,False,2024-09-24,2024-09-24,1,dfurman/CalmeRys-78B-Orpo-v0.1 (Merge),mit,72,77.965,25.99353475607352,0.8163273447785211,81.6327344778521,0.7262282792249927,61.92476379259157,0.4063444108761329,40.6344410876133,0.4001677852348993,20.02237136465324,0.5901770833333333,36.37213541666666,0.7012134308510638,66.80149231678487,Qwen,51.231323076026946
MaziyarPanahi/calme-2.4-rys-78b_bfloat16_0a35e51ffa9efa644c11816a2d56434804177acb_True,MaziyarPanahi/calme-2.4-rys-78b,0a35e51ffa9efa644c11816a2d56434804177acb,bfloat16,chatmodels,Original,Qwen2ForCausalLM,50.76504719022304,True,True,False,False,False,False,2024-08-07,2024-09-03,2,dnhkng/RYS-XLarge,mit,46,77.965,25.95265640253692,0.8010899967641414,80.10899967641413,0.7279510956242796,62.15654929467119,0.4070996978851964,40.70996978851964,0.4026845637583892,20.3579418344519,0.5770624999999999,34.56614583333333,0.7002160904255319,66.690676713948,Qwen,50.76504719022304
huihui-ai/Qwen2.5-72B-Instruct-abliterated_bfloat16_6c92140f35084f10f08832cb884fd87328509d45_True,huihui-ai/Qwen2.5-72B-Instruct-abliterated,6c92140f35084f10f08832cb884fd87328509d45,bfloat16,fine-tunedondomain-specificdatasets,Original,Qwen2ForCausalLM,48.10647092442315,True,True,False,False,False,False,2024-10-26,2024-12-07,2,Qwen/Qwen2.5-72B,other,10,72.706,76.77142501291785,0.8592667455684251,85.92667455684251,0.7189881596250237,60.48786941269388,0.6012084592145015,60.12084592145015,0.3951342281879195,19.35123042505593,0.4232708333333333,12.342187500000003,0.5536901595744681,50.410017730496456,Qwen,48.10647092442315
Qwen/Qwen2.5-72B-Instruct_bfloat16_a13fff9ad76700c7ecff2769f75943ba8395b4a7_True,Qwen/Qwen2.5-72B-Instruct,a13fff9ad76700c7ecff2769f75943ba8395b4a7,bfloat16,chatmodels,Original,Qwen2ForCausalLM,47.98045991216864,True,True,False,False,False,True,2024-09-16,2024-10-16,1,Qwen/Qwen2.5-72B,other,777,72.706,47.64549134130984,0.863837949972739,86.3837949972739,0.7272747321744824,61.87325566878789,0.5981873111782477,59.818731117824775,0.375,16.666666666666664,0.4206041666666666,11.742187500000004,0.5625831117021277,51.39812352245864,Qwen,47.98045991216864
MaziyarPanahi/calme-2.1-qwen2.5-72b_bfloat16_eb6c92dec932070ea872f39469ca5b9daf2d34e6_True,MaziyarPanahi/calme-2.1-qwen2.5-72b,eb6c92dec932070ea872f39469ca5b9daf2d34e6,bfloat16,chatmodels,Original,Qwen2ForCausalLM,47.85672202584548,True,True,False,False,False,False,2024-09-19,2024-09-26,1,Qwen/Qwen2.5-72B,other,1,72.7,29.497787277892904,0.8662360315075112,86.62360315075111,0.7261624327092416,61.65570318314716,0.5913897280966768,59.13897280966768,0.3632550335570469,15.100671140939594,0.42984375,13.297135416666665,0.5619182180851063,51.3242464539007,Qwen,47.85672202584548
newsbang/Homer-v1.0-Qwen2.5-72B_bfloat16_c7f3c5c131c046626f8d33eb615c1a0aba19998b_False,newsbang/Homer-v1.0-Qwen2.5-72B,c7f3c5c131c046626f8d33eb615c1a0aba19998b,bfloat16,fine-tunedondomain-specificdatasets,Original,Qwen2ForCausalLM,47.464376408361055,False,True,False,False,False,False,2024-12-16,2024-12-16,0,newsbang/Homer-v1.0-Qwen2.5-72B,apache-2.0,6,72.706,29.548857722554818,0.7627716680629618,76.27716680629618,0.7309799550978827,62.27406507872839,0.4901812688821752,49.01812688821752,0.4161073825503356,22.14765100671141,0.4677291666666667,17.89947916666667,0.6145279255319149,57.16976950354611,Qwen,47.464376408361055
ehristoforu/qwen2.5-test-32b-it_bfloat16_6bcc8f1cedfe72471276d0159d1646be6ac50e40_True,ehristoforu/qwen2.5-test-32b-it,6bcc8f1cedfe72471276d0159d1646be6ac50e40,bfloat16,chatmodels,Original,Qwen2ForCausalLM,47.36835680458376,True,False,False,False,False,False,2024-12-05,2024-12-07,1,ehristoforu/qwen2.5-test-32b-it (Merge),,9,32.764,29.54403370563684,0.7889499860370484,78.89499860370483,0.708059329453303,58.28330738049858,0.5974320241691843,59.74320241691843,0.3640939597315436,15.212527964205815,0.4578125,19.1265625,0.5765458776595744,52.94954196217494,Qwen,47.36835680458376
Saxo/Linkbricks-Horizon-AI-Avengers-V1-32B_bfloat16_2c355e4b28d552b5fd28c461730272a7e0ccc893_True,Saxo/Linkbricks-Horizon-AI-Avengers-V1-32B,2c355e4b28d552b5fd28c461730272a7e0ccc893,bfloat16,fine-tunedondomain-specificdatasets,Original,Qwen2ForCausalLM,47.33695645964031,True,True,False,False,False,False,2024-12-29,2024-12-29,2,Qwen/Qwen2.5-32B,apache-2.0,6,32.76,7.953929556785364,0.7971681804279312,79.71681804279312,0.7000545067146033,57.63392862080288,0.6027190332326284,60.27190332326284,0.3624161073825503,14.988814317673372,0.45378125,18.155989583333334,0.5792885638297872,53.25428486997635,Qwen,47.33695645964031
